name,municipali,barangay,admin2,admin3,type,X,Y,admin2_X,admin2_Y,lon,lat,RHU / Hospital,Province,Ultrasound machine,Ultrasound machine NOTE,Anesthesia machine,Anesthesia machine NOTE,Ventilator (portable),Ventilator (portable) NOTE,Respirator (portable),Respirator (portable) NOTE,ECG machine,ECG machine NOTE,Generator 6KVA,Generator 6KVA NOTE,Std Eqpt for RHU,Std Eqpt for RHU NOTE,OB/Del kits,OB/Del kits NOTE,First Aid kits,First Aid kits NOTE
Balangiga District Hospital,Balangiga,Barangay Poblacion III,PH082602000,PH082602007,hospital_doh,125.394927,11.118248,125.36389,11.201657,125.3913724,11.10736326,Hospital,Eastern Samar,,,1,Required as per original list,1,Required as per original list,,,,,,,,,,,,
Eastern Samar Provincial Hospital,Borongan City,Songco,PH082604000,PH082604055,hospital_doh,125.427348,11.61742,125.34943,11.594164,125.4313052,11.61178921,Hospital,Eastern Samar,1,Required as per original list,,,,,1,Required as per original list,1,Required as per original list,,,,,,,,
Felipe Abrigo Memo Hospital,Guiuan,Hillsview,PH082609000,#N/A,hospital_doh,125.779935,10.715523,125.779935,10.715523,125.7293415,11.03560181,Hospital,Eastern Samar,0,DOH revision,,,,,1,Required as per original list,,,,,,,,,,
Quinapondan Com Hospital,Quinapondan,0,PH082618000,#N/A,hospital_doh,125.476423,11.189628,125.476423,11.189628,125.5164814,11.15760315,Hospital,Eastern Samar,,,,,1,Required as per original list,,,,,,,,,,,,
Abuyog District Hospital,Abuyog,Bunga,PH083701000,PH083701014,hospital_doh,125.006723,10.763418,125.09164,10.634046,125.0032139,10.75938595,Hospital,Leyte,1,DOH revision,1,Required as per original list,,,,,,,,,,,,,,
Burauen District Hospital,Burauen,Poblacion District I,PH083710000,PH083710018,hospital_doh,124.893086,10.98366,124.898253,10.977365,124.8930862,10.98365956,Hospital,Leyte,1,Required as per original list,,,,,0,DOH revision,,,,,,,,,,
Carigara District Hospital,Carigara,Barugohay Central,PH083715000,PH083715003,hospital_doh,124.70622,11.290697,124.698305,11.240122,124.7046947,11.29436731,Hospital,Leyte,1,Proposed needs,0,Not required,,,1,Proposed needs,1,Proposed needs,,,,,,,,
Leyte Provincial Hospital,Palo,Candahug,PH083739000,PH083739009,hospital_doh,125.00902,11.175379,124.964415,11.141815,125.0057244,11.18094898,Hospital,Leyte,,,1,Required as per original list,1,Proposed needs,1,DOH revision,1,Required as per original list,,,,,,,,
Northwestern Leyte District Hospital,Calubian,Cristina,PH083713000,PH083713014,hospital_doh,124.418555,11.450847,124.41322,11.43679,124.4282341,11.44166625,Hospital,Leyte,,,,,,,1,Required as per original list,,,,,,,,,,
Ormoc District Hospital,Ormoc City,Cogon Combado,PH083738000,PH083738016,hospital_doh,124.602785,11.022266,124.635704,11.055246,124.6031141,11.02267014,Hospital,Leyte,1,Required as per original list,1,Proposed needs,,,,,0,Not required,,,,,,,,
Palompon General Hospital,Palompon,0,PH083740000,#N/A,hospital_doh,124.42414,11.039562,124.42414,11.039562,124.3906832,11.0456898,Hospital,Leyte,,,0,Not required,1,Required as per original list,,,,,,,,,,,,
Schistosomiasis Control and Research Hospital,Palo,Salvacion,PH083739000,PH083739025,hospital_doh,124.999202,11.157222,124.964415,11.141815,124.9949098,11.15549793,Hospital,Leyte,1,Required as per original list,,,,,1,DOH revision,,,,,,,,,,
Tabango Community Hospital,Tabango,Poblacion,PH083745000,PH083745011,hospital_doh,124.3502,11.314917,124.410455,11.313683,124.3768859,11.30983286,Hospital,Leyte,,,,,1,Required as per original list,,,1,Required as per original list,,,,,,,,
Villaba Com Hospital,Villaba,Suba,PH083751000,PH083751035,hospital_doh,124.401375,11.221492,124.442095,11.193957,124.3940735,11.21490129,Hospital,Leyte,,,,,0,Not required,0,Not required,1,Proposed needs,,,,,,,,
Western Leyte Provincial Hospital,Baybay City,Poblacion Zone 2,PH083708000,PH083708058,hospital_doh,124.808469,10.682029,124.887,10.641419,124.7977352,10.68057699,Hospital,Leyte,1,Required as per original list,1,Proposed needs,1,Proposed needs,,,0,Not required,,,,,,,,
Kananga Com Hospital ,Kananga , Poblacion , PH083726000 , PH083726015 , hospital_doh ,124.55969,11.178476,124.57117,11.163167,124.5628166,11.18421178,Hospital,Leyte ,,,,,0,Not required,,,,,,,,,,,,
Basey District Hospital,Basey,Loyo,PH086002000,PH086002037,hospital_doh,125.06544,11.281881,125.152198,11.39398,125.06513,11.27925867,Hospital,Samar (Western),,,1,Required as per original list,,,0,DOH revision,1,Required as per original list,,,,,,,,
Balangiga RHU,Balangiga,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,125.386523,11.10831603,RHU,Eastern Samar,,,,,,,,,,,1,Required as per original list,,,29,Required as per original list,25,Required as per original list
Balankayan RHU,Balangkayan,0,PH082603000,#N/A,health_facility,125.319153,11.372971,125.319153,11.372971,125.5106878,11.47304314,RHU,Eastern Samar,,,,,,,,,,,0,Not required,,,20,Required as per original list,13,Required as per original list
Gen. McArthur Health Unit,General Macarthur,0,PH082607000,#N/A,health_facility,125.498735,11.263891,125.498735,11.263891,125.5386364,11.24643989,RHU,Eastern Samar,,,,,,,,,,,0,Not required,,,27,Required as per original list,13,Required as per original list
Giporlos RHU,Giporlos,0,PH082608000,#N/A,health_facility,125.443403,11.129379,125.443403,11.129379,125.448761,11.1227388,RHU,Eastern Samar,,,,,,,,,,,0,Not required,,,27,Required as per original list,19,Required as per original list
Guiuan RHU I,Guiuan,0,PH082609000,#N/A,health_facility,125.779935,10.715523,125.779935,10.715523,125.7330537,11.03050503,RHU,Eastern Samar,,,,,,,,,,,1,Required as per original list,,,106,Required as per original list,7,Required as per original list
Hernani RHU,Hernani,0,PH082610000,#N/A,health_facility,125.592363,11.326681,125.592363,11.326681,125.6181049,11.32622331,RHU,Eastern Samar,,,,,,,,,,,0,Not required,,,18,Required as per original list,25,Required as per original list
Lawaan RHU,Lawaan,Barangay Poblacion 1,PH082612000,PH082612010,health_facility,125.29498,11.147487,125.286764,11.202071,125.29498,11.1474875,RHU,Eastern Samar,,,,,,,,,,,0,Not required,,,26,Required as per original list,25,Required as per original list
Llorente Rural Health Unit,Llorente,0,PH082613000,#N/A,health_facility,125.447342,11.342563,125.447342,11.342563,125.5455995,11.40929732,RHU,Eastern Samar,,,,,,,,,,,1,Required as per original list,,,89,Required as per original list,38,Required as per original list
Mercedes RHU,Mercedes,Barangay 1 Poblacion,PH082616000,PH082616008,health_facility,125.71714,11.104235,125.70491,11.092883,125.7124329,11.09620878,RHU,Eastern Samar,,,,,,,,,,,0,Not required,,,20,Required as per original list,13,Required as per original list
Paranas Rural Health Unit,Paranas,Poblacion 4,PH086022000,PH086022031,health_facility,125.02695,11.791035,125.13891,11.882263,125.02695,11.79103535,RHU,Eastern Samar,,,,,,,,,,,1,Required as per original list,,,62,Required as per original list,44,Required as per original list
Quinapondan RHU,Quinapondan,0,PH082618000,#N/A,health_facility,125.476423,11.189628,125.476423,11.189628,125.5203438,11.15970835,RHU,Eastern Samar,,,,,,,,,,,1,Required as per original list,,,38,Required as per original list,32,Required as per original list
